"id","name","done","explanation"
"__export__.todo_item_3_d655be86","plan to go shopping","False","You seem to always forget this"
"__export__.todo_item_4_a6adce4d","clean your room","False","its dirty why else"
"__export__.todo_item_5_4f19ba11","study for test","False","This is for your future, do it now"
"__export__.todo_item_6_3015e607","Understand all the components","True","its dirty why else"
"__export__.todo_item_9_c20d910b","Make Notes","False","you could sell them"
"__export__.todo_item_10_85e6ce43","Go on a road trip","False","you could find your self"
"__export__.todo_item_11_b08cfa30","Make a movie","False","Its what you are passionate about"
"__export__.todo_item_12_8d5ebcd0","Get confident","False",""
"__export__.todo_item_13_13767a67","Do not be werid","False","its not good lok"
"__export__.todo_item_14_82525189","make freind","False","you need them"
