"id","name"
"__export__.college_department_1_86ac02a5","Computer Science"
"",Law
"",Africa Centre for Dispute Settlement
"",Afrikaans & Dutch
"",Agricultural Economics
"",Agronomy
"",Ancient Studies
"",Animal Sciences
"",Applied Mathematics
"",Biochemistry
"",Biomedical Sciences
"",Botany and Zoology
"",Business Management
"",Central Analytical Facilities
"",Centre for Chinese Studies
"",Centre for Corporate Governance in Africa
"",Centre for Food Safety
"",Centre for Geographical Analysis
"",Chemistry and Polymer Science
"",Chinese
"",Civil Engineering
"",Conservation Ecology & Entomology
"",Curriculum Studies
"",Drama Department
"",Defence Organisations and Resource Management
"",Earth Sciences
"",Economics
"",Educational Psychology
"",Electronic Systems Laboratory
"",English
"",Experimental Farm
"",Food Science
"",Forrest and Wood Science
"",French
"",General Linguistics
"",Genetics & IPB
"",Geography & Environmental Studies
"",Geospatial Studies & Information Systems
"",German
"",Graduate School of Arts & Social Sciences
"",History Department
"",Horticulture
"",Human Resource Development Military Academy
"",Language Centre
"",Mathematical Sciences
"",Medicine
"",Modern Foreign Languages
"",Music
"",Obstetrics and Gynaecology
"",Old and New Testament
"",Paediatrics and Child Health
"",Philosophy
"",Physics
"",Physiological Sciences
"",Plant Pathology
"",Political Science
"",Practical Theology and Missiology
"",Psychology
"",Arts and social Sciences
"",Information Science
